"id","scheme","scheme_type","value","year","estimate_type"
1703,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2500.0,"2022-2023","Budget"
1704,"Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers","Major Central Sector Schemes",15000.0,"2022-2023","Budget"
1705,"Khadi Gramodyog Vikas Yojana","Major Central Sector Schemes",749.0,"2022-2023","Budget"
1706,"Education Empowerment","Major Central Sector Schemes",2515.0,"2022-2023","Budget"
1707,"PM-Viraasat Ka Samvardhan (PM VIKAS)","Major Central Sector Schemes","","2022-2023","Budget"
1708,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes",1716.0,"2022-2023","Budget"
1709,"Solar Power (Grid)","Major Central Sector Schemes",3304.0,"2022-2023","Budget"
1710,"Wind Power (Grid)","Major Central Sector Schemes",1050.0,"2022-2023","Budget"
1711,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes","","2022-2023","Budget"
1712,"Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems)","Major Central Sector Schemes",600.0,"2022-2023","Budget"
1713,"Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid","Major Central Sector Schemes",1798.0,"2022-2023","Budget"
1714,"Capital Support to Oil Marketing Companies","Major Central Sector Schemes","","2022-2023","Budget"
1715,"Strengthening of Power Systems","Major Central Sector Schemes",2976.0,"2022-2023","Budget"
1716,"Power System Development Fund","Major Central Sector Schemes",604.0,"2022-2023","Budget"
1717,"Reform Linked Distribution Scheme","Major Central Sector Schemes",7566.0,"2022-2023","Budget"
1718,"New Lines","Major Central Sector Schemes",25243.0,"2022-2023","Budget"
1719,"Gauge Conversion","Major Central Sector Schemes",2850.0,"2022-2023","Budget"
1720,"Doubling","Major Central Sector Schemes",12108.0,"2022-2023","Budget"
1721,"Traffic Facilities - Yard Remodelling and Others","Major Central Sector Schemes",2045.0,"2022-2023","Budget"
1722,"Rolling Stock","Major Central Sector Schemes",7978.0,"2022-2023","Budget"
1723,"Leased assets - Payment of Capital Component","Major Central Sector Schemes",22188.0,"2022-2023","Budget"
1724,"Road Safety Works - Level Crossings","Major Central Sector Schemes",1000.0,"2022-2023","Budget"
1725,"Road Safety Works - Road Over/Under Bridges","Major Central Sector Schemes",6500.0,"2022-2023","Budget"
1726,"Track Renewals","Major Central Sector Schemes",13335.0,"2022-2023","Budget"
1727,"Bridge Works, Turnnel Works and Approaches","Major Central Sector Schemes",940.0,"2022-2023","Budget"
1728,"Signalling and Telecom","Major Central Sector Schemes",2500.0,"2022-2023","Budget"
1729,"Electrification Projects","Major Central Sector Schemes","","2022-2023","Budget"
1730,"Other Electrical Works","Major Central Sector Schemes",650.0,"2022-2023","Budget"
1731,"Machinery and Plant","Major Central Sector Schemes",600.0,"2022-2023","Budget"
1732,"Workshop Including Production Units","Major Central Sector Schemes",2045.0,"2022-2023","Budget"
1733,"Staff Welfare","Major Central Sector Schemes",495.0,"2022-2023","Budget"
1734,"Customer Amenities","Major Central Sector Schemes",2700.0,"2022-2023","Budget"
1735,"Investment in PSU/JV/SPV etc.","Major Central Sector Schemes",38687.0,"2022-2023","Budget"
1736,"Other Specified Works","Major Central Sector Schemes",740.0,"2022-2023","Budget"
1737,"Metropolitan Transportation Projects","Major Central Sector Schemes",2000.0,"2022-2023","Budget"
1738,"Transfer to Railway Safety Fund","Major Central Sector Schemes","","2022-2023","Budget"
1739,"Road Works","Major Central Sector Schemes",64568.0,"2022-2023","Budget"
1740,"National Highways Authority of India","Major Central Sector Schemes",134015.0,"2022-2023","Budget"
1741,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",1128.0,"2022-2023","Budget"
1742,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",813.0,"2022-2023","Budget"
1743,"National Mission on Interdisciplinary Cyber Physical Systems","Major Central Sector Schemes",350.0,"2022-2023","Budget"
1744,"Biotechnology Research and Development","Major Central Sector Schemes",1315.0,"2022-2023","Budget"
1745,"Skill India Programme","Major Central Sector Schemes","","2022-2023","Budget"
1746,"Space Technology","Major Central Sector Schemes",10535.0,"2022-2023","Budget"
1747,"Space Applications","Major Central Sector Schemes",1483.0,"2022-2023","Budget"
1748,"INSAT Satellite Systems","Major Central Sector Schemes",419.0,"2022-2023","Budget"
1749,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3965.0,"2022-2023","Budget"
1750,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",650.0,"2022-2023","Budget"
1751,"Central Silk Board","Major Central Sector Schemes",875.0,"2022-2023","Budget"
1752,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",1181.0,"2022-2023","Budget"
1753,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes",2000.0,"2022-2023","Budget"
1754,"National Tribal Welfare Program","Major Central Sector Schemes","","2022-2023","Budget"
1755,"Khelo India","Major Central Sector Schemes",974.0,"2022-2023","Budget"
1756,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",89400.0,"2022-2023","Revised"
1757,"National Social Assistance Program","Core of the Core Schemes",9652.0,"2022-2023","Revised"
1758,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",530.0,"2022-2023","Revised"
1759,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",1921.0,"2022-2023","Revised"
1760,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3874.0,"2022-2023","Revised"
1761,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",7722.0,"2022-2023","Revised"
1762,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojna (PMJAY)","Core Schemes",6427.0,"2022-2023","Revised"
1763,"Blue Revolution","Core Schemes",1422.0,"2022-2023","Revised"
1764,"Border Area Development Programme","Core Schemes",160.0,"2022-2023","Revised"
1765,"Environment, Forestry and Wildlife","Core Schemes",549.0,"2022-2023","Revised"
1766,"Green Revolution","Core Schemes",0.0,"2022-2023","Revised"
1767,"Infrastructure Facilities for Judiciary","Core Schemes",858.0,"2022-2023","Revised"
1768,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",55000.0,"2022-2023","Revised"
1769,"Modernisation of Police Forces","Core Schemes",2432.0,"2022-2023","Revised"
1770,"National Education Mission","Core Schemes",32612.0,"2022-2023","Revised"
1771,"National Health Mission","Core Schemes",33708.0,"2022-2023","Revised"
1772,"National Livelihood Mission - Ajeevika","Core Schemes",13886.0,"2022-2023","Revised"
1773,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",77130.0,"2022-2023","Revised"
1774,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",19000.0,"2022-2023","Revised"
1775,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",8085.0,"2022-2023","Revised"
1776,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",762.0,"2022-2023","Revised"
1777,"Swachh Bharat Mission","Core Schemes",2000.0,"2022-2023","Revised"
1778,"Swachh Bharat Mission (Gramin)","Core Schemes",5000.0,"2022-2023","Revised"
1779,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",15300.0,"2022-2023","Revised"
1780,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Core Schemes",6572.0,"2022-2023","Revised"
1781,"Computerization of Primary Agricultural Credit Societies","Core Schemes",350.0,"2022-2023","Revised"
1782,"Development Programmes","Core Schemes",1200.0,"2022-2023","Revised"
1783,"Krishionnati Yojana","Core Schemes",5000.0,"2022-2023","Revised"
1784,"Mission Shakti (Mission for Protection and Empowerment for Women)","Core Schemes",2280.0,"2022-2023","Revised"
1785,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes",1100.0,"2022-2023","Revised"
1786,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Core Schemes",1885.0,"2022-2023","Revised"
1787,"PM Schools for Rising India (PM SHRI)","Core Schemes",0.0,"2022-2023","Revised"
1788,"Pradhan Mantri Poshan Shakti Nirman (PM POSHAN)","Core Schemes",12800.0,"2022-2023","Revised"
1789,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes",290.0,"2022-2023","Revised"
1790,"Rashtriya Krishi Vikas Yojna","Core Schemes",7000.0,"2022-2023","Revised"
1791,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)","Core Schemes",20263.0,"2022-2023","Revised"
1792,"Strengthening Teaching-Learning and Results for States (STARS)","Core Schemes",400.0,"2022-2023","Revised"
1793,"Interlinking of Rivers","Core Schemes",1100.0,"2022-2023","Revised"
1794,"Dsitribution of Pulses to State/Union Territories for Welfare Schemes","Major Central Sector Schemes",166.0,"2022-2023","Revised"
1795,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",60000.0,"2022-2023","Revised"
1796,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)","Major Central Sector Schemes",955.0,"2022-2023","Revised"
1797,"Crop Insurance Scheme","Major Central Sector Schemes",12376.0,"2022-2023","Revised"
1798,"Modified Interest Subvention Scheme (MISS)","Major Central Sector Schemes",22000.0,"2022-2023","Revised"
1799,"Crop Science","Major Central Sector Schemes",526.0,"2022-2023","Revised"
1800,"R&D projects of Bhabha Atomic Research Centre (BARC)","Major Central Sector Schemes",955.0,"2022-2023","Revised"
1801,"Fuel Recycle Projects (NRB)","Major Central Sector Schemes",704.0,"2022-2023","Revised"
1802,"Nuclear Fuel Fabrication Projects","Major Central Sector Schemes",800.0,"2022-2023","Revised"
1803,"Research and Development Projects","Major Central Sector Schemes",970.0,"2022-2023","Revised"
1804,"Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam","Major Central Sector Schemes",400.0,"2022-2023","Revised"
1805,"Feedstock","Major Central Sector Schemes",1374.0,"2022-2023","Revised"
1806,"Urea Subsidy","Major Central Sector Schemes",154098.0,"2022-2023","Revised"
1807,"Nutrient Based Subsidy","Major Central Sector Schemes",71122.0,"2022-2023","Revised"
1808,"Development of Pharmaceutical Indsutry","Major Central Sector Schemes",36.0,"2022-2023","Revised"
1809,"Production Linked Incentive Schemes","Major Central Sector Schemes",1663.0,"2022-2023","Revised"
1810,"Regional Connectivity Scheme","Major Central Sector Schemes",1079.0,"2022-2023","Revised"
1811,"Interest Equalisation Scheme","Major Central Sector Schemes",2376.0,"2022-2023","Revised"
1812,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",2100.0,"2022-2023","Revised"
1813,"National Industrial Corridor Development and Implementation Trust (NICDIT)","Major Central Sector Schemes",1500.0,"2022-2023","Revised"
1814,"Fund of Funds","Major Central Sector Schemes",1189.0,"2022-2023","Revised"
1815,"Postal Operation","Major Central Sector Schemes",1270.0,"2022-2023","Revised"
1816,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",3010.0,"2022-2023","Revised"
1817,"Wireless Planning and Coordination","Major Central Sector Schemes",85.0,"2022-2023","Revised"
1818,"Optical Fibre Cable based network for Defence Services","Major Central Sector Schemes",1961.0,"2022-2023","Revised"
1819,"Domestic Industry Incentivisation Scheme","Major Central Sector Schemes","","2022-2023","Revised"
1820,"Food Subsidy to Food Corporation of India under National Food Security Act.","Major Central Sector Schemes",214696.0,"2022-2023","Revised"
1821,"Food Subsidy for Decentralized Procurement of Foodgrains under NFSA","Major Central Sector Schemes",72283.0,"2022-2023","Revised"
1822,"Works under Border Roads Development Board","Major Central Sector Schemes",4500.0,"2022-2023","Revised"
1823,"Other works","Major Central Sector Schemes",900.0,"2022-2023","Revised"
1824,"Investment in Public Enterprises","Major Central Sector Schemes",1310.0,"2022-2023","Revised"
1825,"Naval Fleet","Major Central Sector Schemes",24187.0,"2022-2023","Revised"
1826,"Construction Works-Army","Major Central Sector Schemes",5125.0,"2022-2023","Revised"
1827,"Aircrafts and Aeroengines-Army","Major Central Sector Schemes",3565.0,"2022-2023","Revised"
1828,"Other equipment-Army","Major Central Sector Schemes",20885.0,"2022-2023","Revised"
1829,"Land-Navy","Major Central Sector Schemes",30.0,"2022-2023","Revised"
1830,"Construction Works-Navy","Major Central Sector Schemes",1856.0,"2022-2023","Revised"
1831,"Other equipment-Navy","Major Central Sector Schemes",8200.0,"2022-2023","Revised"
1832,"Naval Dockyard/ Projects","Major Central Sector Schemes",4500.0,"2022-2023","Revised"
1833,"Joint Staff","Major Central Sector Schemes",1404.0,"2022-2023","Revised"
1834,"Construction Works-Air Force","Major Central Sector Schemes",1996.0,"2022-2023","Revised"
1835,"Special Projects","Major Central Sector Schemes",969.0,"2022-2023","Revised"
1836,"Aircrafts and Aeroengines-Air Force","Major Central Sector Schemes",23713.0,"2022-2023","Revised"
1837,"Heavy and Medium Vehicles-Air Force","Major Central Sector Schemes",163.0,"2022-2023","Revised"
1838,"Other equipment-Air Force","Major Central Sector Schemes",26624.0,"2022-2023","Revised"
1839,"Projects of the Air Force","Major Central Sector Schemes",122.0,"2022-2023","Revised"
1840,"Heavy and Medium Vehicles","Major Central Sector Schemes",2385.0,"2022-2023","Revised"
1841,"Aircrafts and Aero Engines","Major Central Sector Schemes",7500.0,"2022-2023","Revised"
1842,"Research and Development","Major Central Sector Schemes",11982.0,"2022-2023","Revised"
1843,"Schemes of North East Council","Major Central Sector Schemes",667.0,"2022-2023","Revised"
1844,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",1233.0,"2022-2023","Revised"
1845,"Prime Minister's Development Initiative for North East Region (PM-DevINE)","Major Central Sector Schemes",400.0,"2022-2023","Revised"
1846,"Deep Ocean Mission (DOM)","Major Central Sector Schemes",300.0,"2022-2023","Revised"
1847,"Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS)","Major Central Sector Schemes",400.0,"2022-2023","Revised"
1848,"World Class Institutions","Major Central Sector Schemes",1200.0,"2022-2023","Revised"
1849,"PM Uchchatar Shiksha Protsahan (PM-USP) Yojna","Major Central Sector Schemes","","2022-2023","Revised"
1850,"Electronic Governance","Major Central Sector Schemes",525.0,"2022-2023","Revised"
1851,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",1199.0,"2022-2023","Revised"
1852,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",365.0,"2022-2023","Revised"
1853,"Promotion of Digital payment","Major Central Sector Schemes",2137.0,"2022-2023","Revised"
1854,"Capacity Building and Skill Development Scheme","Major Central Sector Schemes","","2022-2023","Revised"
1855,"Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India","Major Central Sector Schemes",200.0,"2022-2023","Revised"
1856,"Production Linked Incentive Scheme (PLI)","Major Central Sector Schemes","","2022-2023","Revised"
1857,"Control of Pollution","Major Central Sector Schemes",600.0,"2022-2023","Revised"
1858,"Scheme for Bhutan","Major Central Sector Schemes",2500.0,"2022-2023","Revised"
1859,"Scheme for Nepal","Major Central Sector Schemes",425.0,"2022-2023","Revised"
1860,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",2000.0,"2022-2023","Revised"
1861,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)","Major Central Sector Schemes",1320.0,"2022-2023","Revised"
1862,"Government Co-contribution to Atal Pension Yojana","Major Central Sector Schemes",725.0,"2022-2023","Revised"
1863,"Remission of Duties and Taxes on Exported Products (RODTEP)","Major Central Sector Schemes",13699.0,"2022-2023","Revised"
1864,"Rebate on State and Central Taxes and Levies (ROSCTL)","Major Central Sector Schemes",7641.0,"2022-2023","Revised"
1865,"Onetime payment of Arrears.","Major Central Sector Schemes",5770.0,"2022-2023","Revised"
1866,"Livestock Health and Disease Control Programme","Major Central Sector Schemes",1390.0,"2022-2023","Revised"
1867,"Production-Linked Incentive Scheme for Food Processing Industry","Major Central Sector Schemes",801.0,"2022-2023","Revised"
1868,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes",673.0,"2022-2023","Revised"
1869,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Major Central Sector Schemes",282.0,"2022-2023","Revised"
1870,"National AIDS and STD Control Programme","Major Central Sector Schemes",2182.0,"2022-2023","Revised"
1871,"Family Welfare Schemes","Major Central Sector Schemes",474.0,"2022-2023","Revised"
1872,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",8270.0,"2022-2023","Revised"
1873,"Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components","Major Central Sector Schemes",11.0,"2022-2023","Revised"
1874,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",2898.0,"2022-2023","Revised"
1875,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",655.0,"2022-2023","Revised"
1876,"Inter Operable Criminal Justice System","Major Central Sector Schemes",105.0,"2022-2023","Revised"
1877,"Border Infrastructure and Management","Major Central Sector Schemes",3739.0,"2022-2023","Revised"
1878,"Police Infrastructure","Major Central Sector Schemes",2188.0,"2022-2023","Revised"
1879,"Metro Projects","Major Central Sector Schemes",15629.0,"2022-2023","Revised"
1880,"National Capital Region Transport Corporation","Major Central Sector Schemes",4710.0,"2022-2023","Revised"
1881,"Broadcasting Infrastructure Network Development","Major Central Sector Schemes","","2022-2023","Revised"
1882,"Atal Bhujal Yojna","Major Central Sector Schemes",700.0,"2022-2023","Revised"
1883,"National Ganga Plan","Major Central Sector Schemes",2500.0,"2022-2023","Revised"
1884,"Employees Pension Scheme, 1995","Major Central Sector Schemes",8485.0,"2022-2023","Revised"
1885,"Aatmanirbhar Bharat Rojgar Yojana","Major Central Sector Schemes",5758.0,"2022-2023","Revised"
1886,"Raising and Accelerating MSME Performance - RAMP","Major Central Sector Schemes",455.0,"2022-2023","Revised"
1887,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2484.0,"2022-2023","Revised"
1888,"Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers","Major Central Sector Schemes",10500.0,"2022-2023","Revised"
1889,"Khadi Gramodyog Vikas Yojana","Major Central Sector Schemes",736.0,"2022-2023","Revised"
1890,"Education Empowerment","Major Central Sector Schemes",1584.0,"2022-2023","Revised"
1891,"PM-Viraasat Ka Samvardhan (PM VIKAS)","Major Central Sector Schemes","","2022-2023","Revised"
1892,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes",1325.0,"2022-2023","Revised"
1893,"Solar Power (Grid)","Major Central Sector Schemes",3470.0,"2022-2023","Revised"
1894,"Wind Power (Grid)","Major Central Sector Schemes",1413.0,"2022-2023","Revised"
1895,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes","","2022-2023","Revised"
1896,"Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems)","Major Central Sector Schemes",40.0,"2022-2023","Revised"
1897,"Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid","Major Central Sector Schemes",1798.0,"2022-2023","Revised"
1898,"Capital Support to Oil Marketing Companies","Major Central Sector Schemes","","2022-2023","Revised"
1899,"Strengthening of Power Systems","Major Central Sector Schemes",2743.0,"2022-2023","Revised"
1900,"Power System Development Fund","Major Central Sector Schemes",800.0,"2022-2023","Revised"
1901,"Reform Linked Distribution Scheme","Major Central Sector Schemes",6000.0,"2022-2023","Revised"
1902,"New Lines","Major Central Sector Schemes",24914.0,"2022-2023","Revised"
1903,"Gauge Conversion","Major Central Sector Schemes",3220.0,"2022-2023","Revised"
1904,"Doubling","Major Central Sector Schemes",24093.0,"2022-2023","Revised"
1905,"Traffic Facilities - Yard Remodelling and Others","Major Central Sector Schemes",2240.0,"2022-2023","Revised"
1906,"Rolling Stock","Major Central Sector Schemes",15158.0,"2022-2023","Revised"
1907,"Leased assets - Payment of Capital Component","Major Central Sector Schemes",18898.0,"2022-2023","Revised"
1908,"Road Safety Works - Level Crossings","Major Central Sector Schemes",750.0,"2022-2023","Revised"
1909,"Road Safety Works - Road Over/Under Bridges","Major Central Sector Schemes",6000.0,"2022-2023","Revised"
1910,"Track Renewals","Major Central Sector Schemes",15388.0,"2022-2023","Revised"
1911,"Bridge Works, Turnnel Works and Approaches","Major Central Sector Schemes",1215.0,"2022-2023","Revised"
1912,"Signalling and Telecom","Major Central Sector Schemes",2428.0,"2022-2023","Revised"
1913,"Electrification Projects","Major Central Sector Schemes",214.0,"2022-2023","Revised"
1914,"Other Electrical Works","Major Central Sector Schemes",676.0,"2022-2023","Revised"
1915,"Machinery and Plant","Major Central Sector Schemes",538.0,"2022-2023","Revised"
1916,"Workshop Including Production Units","Major Central Sector Schemes",2671.0,"2022-2023","Revised"
1917,"Staff Welfare","Major Central Sector Schemes",463.0,"2022-2023","Revised"
1918,"Customer Amenities","Major Central Sector Schemes",3824.0,"2022-2023","Revised"
1919,"Investment in PSU/JV/SPV etc.","Major Central Sector Schemes",28981.0,"2022-2023","Revised"
1920,"Other Specified Works","Major Central Sector Schemes",857.0,"2022-2023","Revised"
1921,"Metropolitan Transportation Projects","Major Central Sector Schemes",1838.0,"2022-2023","Revised"
1922,"Transfer to Railway Safety Fund","Major Central Sector Schemes",35000.0,"2022-2023","Revised"
1923,"Road Works","Major Central Sector Schemes",74984.0,"2022-2023","Revised"
1924,"National Highways Authority of India","Major Central Sector Schemes",141606.0,"2022-2023","Revised"
1925,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",837.0,"2022-2023","Revised"
1926,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",538.0,"2022-2023","Revised"
1927,"National Mission on Interdisciplinary Cyber Physical Systems","Major Central Sector Schemes",300.0,"2022-2023","Revised"
1928,"Biotechnology Research and Development","Major Central Sector Schemes",1000.0,"2022-2023","Revised"
1929,"Skill India Programme","Major Central Sector Schemes","","2022-2023","Revised"
1930,"Space Technology","Major Central Sector Schemes",7927.0,"2022-2023","Revised"
1931,"Space Applications","Major Central Sector Schemes",1283.0,"2022-2023","Revised"
1932,"INSAT Satellite Systems","Major Central Sector Schemes",452.0,"2022-2023","Revised"
1933,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3965.0,"2022-2023","Revised"
1934,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",650.0,"2022-2023","Revised"
1935,"Central Silk Board","Major Central Sector Schemes",875.0,"2022-2023","Revised"
1936,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",600.0,"2022-2023","Revised"
1937,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes",2000.0,"2022-2023","Revised"
1938,"National Tribal Welfare Program","Major Central Sector Schemes","","2022-2023","Revised"
1939,"Khelo India","Major Central Sector Schemes",600.0,"2022-2023","Revised"
1940,"Border Area Development Programme","Core Schemes",600.0,"2023-2024","Budget"
1941,"Green Revolution","Core Schemes",0.0,"2023-2024","Budget"
1942,"National Education Mission","Core Schemes",38953.0,"2023-2024","Budget"
1943,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Core Schemes","","2023-2024","Budget"
1944,"Computerization of Primary Agricultural Credit Societies","Core Schemes",968.0,"2023-2024","Budget"
1945,"Development Programmes","Core Schemes",1406.0,"2023-2024","Budget"
1946,"Dsitribution of Pulses to State/Union Territories for Welfare Schemes","Major Central Sector Schemes",800.0,"2023-2024","Budget"
1947,"Crop Science","Major Central Sector Schemes",714.0,"2023-2024","Budget"
1948,"Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam","Major Central Sector Schemes",516.0,"2023-2024","Budget"
1949,"Development of Pharmaceutical Indsutry","Major Central Sector Schemes",1250.0,"2023-2024","Budget"
1950,"Production Linked Incentive Schemes","Major Central Sector Schemes",1200.0,"2023-2024","Budget"
1951,"National Industrial Corridor Development and Implementation Trust (NICDIT)","Major Central Sector Schemes",2000.0,"2023-2024","Budget"
1952,"Postal Operation","Major Central Sector Schemes",1144.0,"2023-2024","Budget"
1953,"Wireless Planning and Coordination","Major Central Sector Schemes",756.0,"2023-2024","Budget"
1954,"Optical Fibre Cable based network for Defence Services","Major Central Sector Schemes",2158.0,"2023-2024","Budget"
1955,"Food Subsidy to Food Corporation of India under National Food Security Act.","Major Central Sector Schemes",137207.0,"2023-2024","Budget"
1956,"Food Subsidy for Decentralized Procurement of Foodgrains under NFSA","Major Central Sector Schemes",59793.0,"2023-2024","Budget"
1957,"Naval Fleet","Major Central Sector Schemes",24200.0,"2023-2024","Budget"
1958,"Construction Works-Army","Major Central Sector Schemes",6789.0,"2023-2024","Budget"
1959,"Aircrafts and Aeroengines-Army","Major Central Sector Schemes",5500.0,"2023-2024","Budget"
1960,"Other equipment-Army","Major Central Sector Schemes",21300.0,"2023-2024","Budget"
1961,"Land-Navy","Major Central Sector Schemes",1551.0,"2023-2024","Budget"
1962,"Construction Works-Navy","Major Central Sector Schemes",1900.0,"2023-2024","Budget"
1963,"Other equipment-Navy","Major Central Sector Schemes",9500.0,"2023-2024","Budget"
1964,"Naval Dockyard/ Projects","Major Central Sector Schemes",6725.0,"2023-2024","Budget"
1965,"Joint Staff","Major Central Sector Schemes",1839.0,"2023-2024","Budget"
1966,"Construction Works-Air Force","Major Central Sector Schemes",2342.0,"2023-2024","Budget"
1967,"Special Projects","Major Central Sector Schemes",1562.0,"2023-2024","Budget"
1968,"Aircrafts and Aeroengines-Air Force","Major Central Sector Schemes",15722.0,"2023-2024","Budget"
1969,"Heavy and Medium Vehicles-Air Force","Major Central Sector Schemes",948.0,"2023-2024","Budget"
1970,"Other equipment-Air Force","Major Central Sector Schemes",36223.0,"2023-2024","Budget"
1971,"Heavy and Medium Vehicles","Major Central Sector Schemes",3000.0,"2023-2024","Budget"
1972,"Aircrafts and Aero Engines","Major Central Sector Schemes",7000.0,"2023-2024","Budget"
1973,"Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS)","Major Central Sector Schemes",680.0,"2023-2024","Budget"
1974,"Promotion of Digital payment","Major Central Sector Schemes",1500.0,"2023-2024","Budget"
1975,"Production Linked Incentive Scheme (PLI)","Major Central Sector Schemes",4645.0,"2023-2024","Budget"
1976,"Onetime payment of Arrears.","Major Central Sector Schemes",4081.0,"2023-2024","Budget"
1977,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Major Central Sector Schemes",646.0,"2023-2024","Budget"
1978,"Inter Operable Criminal Justice System","Major Central Sector Schemes",591.0,"2023-2024","Budget"
1979,"Broadcasting Infrastructure Network Development","Major Central Sector Schemes",600.0,"2023-2024","Budget"
1980,"Aatmanirbhar Bharat Rojgar Yojana","Major Central Sector Schemes",2273.0,"2023-2024","Budget"
1981,"PM-Viraasat Ka Samvardhan (PM VIKAS)","Major Central Sector Schemes",540.0,"2023-2024","Budget"
1982,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes",5000.0,"2023-2024","Budget"
1983,"Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems)","Major Central Sector Schemes",508.0,"2023-2024","Budget"
1984,"Other Specified Works","Major Central Sector Schemes",1300.0,"2023-2024","Budget"
1985,"Transfer to Railway Safety Fund","Major Central Sector Schemes",45000.0,"2023-2024","Budget"
1986,"Skill India Programme","Major Central Sector Schemes",2278.0,"2023-2024","Budget"
1987,"Space Technology","Major Central Sector Schemes",9441.0,"2023-2024","Budget"
